text,text
(J Udgiverens Fraværelse redigeret af Carl Bagger.),30
Chr. Deichmanns Fabrications=Handels DampChocolade=Fabrik ved Kjøbenhavn erholdes til Fabrikpriserne fra 2 Mk. 4 s. til 8 Mk. pr.,19
"Dette kundgjøres i Overeensstemmelse med Placaten af 22de April 1817, saavel til Panthavernes som Liebhavernes Efterretning.",17
Hvorefter de Vedkommende sig allerunderdanigst have at rette og for Skade at tage vare.,15
Chocolade udarbeidet til den fuldkomneste Fiinhed i P.,15
"J Hr. Etatsraad, Borgermester Reimuths Forfald N. Petersen, const.",14
"Nykjøbing paa Falster, den 20de Juli 1833. Møller.",14
"Conditionerne bekjendtgjøres ved Auctionen, hvortil de Lysthavende indbydes.",13
"Conditionerne erfares ved Auctionen, hvortil de Lysthavende indbydes.",12
"Nakskov Skifteret, den 2den Februar 1832. Pontoppidan. Hammerich.",11
"For dem som ønske at reise til eller fra Kjøbenhavn, ere passende Landbefordringer oprettede.",10
Subscription modtages paa Addressecontoiret i Mariboe.,10
"Hos Compagniets Commissionairer, der ere forsynede med Policer, og authoriserede til at antage de Forsikkringer, som maatte begieres, findes tillige Tabeller, der nøiere udvise hvilken Præmie, der efter forberørte Omstændigheder er at erlægge.",9
"J Auctionsdirecteurens Fraværelse. Davidsen, const.",9
Hvilket herved til Liebhaberes Efterretning bekjendtgjøres.,9
"Hvilket, i Overeensstemmelse med Placaten af 22de April 1817, bekjendtgjøres.",9
"Nysted Byefoged-Contoir, den 7de Septbr. 1826. Prom.",9
"Chocolade, udarbeidet til den fuldkomneste Fiinhed i B.",8
"Hads og Ning Herreders Contoir, d. 28de August 1829. Lanng.",8
"Hann Herredernes Contoir paa Skjerpinggaard, den 18de November 1837. C. W. Qvistgaard.",8
"Fuglse Herreds Contoir i Rødbye, den 17de Mai 1832. S. Jbsen.",8
"Dette kundgjøres i Overeensstemmelse med Placaten af 22de April 1817, saavel til Panthavernes som Liebhaberes Efterretning.",8
"Til Efterretning for dem, som maatte ønske Sikkerhed imod Tab ved Jldsvaade af deres rørlige Eiendomme, bekjendtgjøres herved af undertegnede Direction.",8
"Bekjendtgjørelser. Til Efterretning for dem, som maatte ønske Sikkerhed imod Tab ved Jldsvaade af deres rørlige Eiendomme, bekjendtgjøres herved af undertegnede Direction.",8
"Conditionerne erfares ved Auctionen, hvor Lysthavende indbydes at møde.",8
"Hos Undertegnede er indleveret til Forhandling: Jntet Stridsskrivt imod Etatsraad Ørsted, men anden Mening, end hans Mening, om vort nuværende Pengevæsen, især med Hensyn til Jndulten og Sølvværdiesystemet, ved Erik Møller, Capitain og Eier af Møllerup og Taarupgaard. Første",8
"J Hr. Kammerraad Rods Fraværelse, Hammershøi, constitueret.",8
"Enhver, som leverer 1,000 Alen paa een Gang, erholder 1/2 s. Rabat pr. Alen. Varerne maa være mærkede med Eierens Navn, tilligemed Alenmaal og Bredde, desforuden hankede ved hver 4de Alen. De Varer, som leveres til den saakaldte første Bleg, nemlig inden 15de Mai, kunne ventes Eierne tilbageleverede inden 15de August og mueligen tidligere, hvorimod senere til Blegning leverede Varer ei kunne ventes forinden 15de September eller inden 15de October d. A.",7
"Mariebo Skifteret, den 7de September 1833. Valentin.",7
Bekjendtgjørelse fra den kgl. Direction for Qvarantaine-Foranstaltningerne.,7
Bestyrelsen er vedkommende Eiere ansvarlig for Varernes Behandling og Tilbagelevering.,7
"Chr. Deichmans & Comps. Fabrik ved Kjøbenhavn, falholdes til Fabrikpriser hos Hr. J. H. Heidenheim i Nysted og hos Hr. L. Wilchen i Mariebo.",7
Subskription modtages paa Addresse-Contoiret i Mariboe.,7
"Her paa Adresse=Contoiret faaes tilkiøbs: Linieret Papiir til Auctionsforretninger, a Bog 2 Mk.",7
Conditionerne ere forinden Auctionerne at erholde til Eftersyn her paa Contoiret.,7
"Paa Gravensgade No. 121 i Stuen til Høire, modtages sin og grov Linnedsyening; ligeledes modtages til Brodering, Kraver, Tørklæder, Garneringer, Kapper, m. m.; Alt til de billigste Priser.",7
"Nysted Kjøbstads Skifteret, den 1ste August 1829. J. Schwensen.",7
"Nakskov den 14de Julii 1812. Schwensen, Skifteforvalter.",7
Nyekjøbing Byes Skifteret den 22de September 1837. Rummelhoff.,7
Hvilket herved til de Lysthavendes Efterretning bekjendtgjøres.,7
"Nakskovs Skifteret, den 31te Marts 1828. Pontoppidan. Schwensen.",7
"Conditionerne erfares ved Auctionen, hvor Lysthavende indbydes til at møde.",6
"Viborg, den 15de April 1825. Bastrup, const. Auctionsdirecteur.",6
"Falster Birks Contoir i Nykjøbing, den 19de Juni 1827. C. G. Krüger.",6
"Nykjøbing paa Falster, den 14de Februar 1835. Møller.",6
"Store Hollandske Agurker nedlagt i Salt og Specerier, friske og velsmagende, sælges a 8 Rbmk. Lpd., ogsaa i stykkeviis til billig Priis hos Feldbereder og Handskemager Floridong.",6
"Denne Bekjendtgjørelse tjener, i Følge Placaten af 22de April 1817, til Efterretning for vedkommende Panthavere.",6
"Nykjøbing paa Falster, den 13de Marts 1832. Møller.",6
"Nakskov, den 16de April 1829. Pontoppidan, constitueret.",6
"Nakskov, den 15de Januari 1823. Schwensen, Auctions-Directeur.",6
Conditionerne erfares paa Auctionsstedet. Thi ville de Lysthavende behage at indfinde sig til Tid og Sted.,6
"Nakskovs Skifteret, den 9de September 1830. Pontoppidan. Hammerich.",6
"Bye- og Herredscontoiret i Skive, den 28de Januar 1839. Rosenstand.",6
"Bye- og Herreds-Contoiret i Skive, den 2den Septbr. 1835. Rosenstand.",6
"Conditionerne, der paa Auctionsstedet vil blive bekjendtgjorte for Liebhaverne, ere fra 1ste Auction af til Eftersyn paa mit Contoir.",6
"Conditionerne, hvorefter bemeldte Eiendomme bortsælges, ere fra første Auction af til Eftersyn paa mit Contoir.",6
"Hvilket herved bekjendtgjøres paa den, ved Placaten af 22de April 1817, foreskrevne Maade.",6
"Nyekiøbing paa Falster, den 23de Januarii 1838. Møller.",6
"De som maatte have noget at fordre efter her i Byen afdøde forrige Vertshuusholder Tollev Larsens Enke Mette Marie Hiort, indkaldes herved med 12 Ugers Varsel, for i Følge Placaten af 26de October 1792 at anmelde og beviisliggjøre deres tilgodehavende Fordringer for undertegnede Skifteforvaltere. Aalborg den 1ste Juli 1822. Harnsyld. Schmidt.",6
"De Lysthavende ville behage, til Tid og Sted, at indfinde sig. Viborg, d. 21de Januar 1818. Gundelach, Auctionsdirecteur.",6
"Bremmersvold, den 12te September 1829. A. Gravesen.",6
"Creditorerne i Stervboet efter afgangne Hospitalslem Karen Christensdatter Knokker heraf Byen, bliver herved indkaldte til med 12 Ugers Varsel at anmelde og beviisliggjøre deres Fordringer for undertegnede Skifteforvalter. Nyekjøbing paa Morsøe den 7de August 1826. Rummelhoff.",6
Ved da afholdende 3die Auctioner opbydes Stederne tilligetil Bortleielse paa et eller flere Aar.,6
Conditionerne ville 8 Dage før første Auction kunne erholdes til Eftersyn hos Hr.,6
"Efter at Gaarden er solgt, bortsælges tillige de Stervboet tilhørende Brænderie-Redskaber, Kiedler, Kar m.v. hvilket herved til Lysthaveres behagelig Efterretning bekiendtgiøres. Aalborg den 4de Decbr. 1819. Wølfferdt.",6
"Løverdagen den 10de April førstkommende, om Formiddagen Kl. 10 slet, bliver 1ste Gang offentlig Auction; Løverdagen den 8de Maj førstkommende, Formiddag Kl. 10 slet, bliver 2den Gang offentlig Auction; og Løverdagen den 5te Juni førstkommende, om Formiddagen Kl. 10 slet, bliver 3die og sidste Gang offentlig Auction afholdet i og over Smeden Johannes Ellings Opbudsgaard, beliggende i Nyegade her i Byen, bestaaende af: a) Et Forhuus med Siden til Gaden, 8 Fag 1 Loft høi, Muur og Bindingsværk, indrettet til Beboelse, og et ubebygget Portrum med Jndkiørsel. b) Et Huus sønden i Gaarden, 6 Fag 1 Loft høi, Muur og Bindingsværk, indrettet til Smedeværksted, Folkekammer m.v. c) 5 Fag ved vestre Ende af samme, ligeledes indrettet til Smedeværksted. d) Et Halvtag østen i Gaarden 2 Fag, indrettet til Bryggerhuus. Hvilket herved i Overeensstemmelse med Placaten af 22de April 1817 bekiendtgiøres 3de Gange efter hinanden i Aalborg, Stifts-Aviser og Statstidenden til behagelig Underretning for Lysthavere, og i øvrigt til enhver Vedkommendes behagelige Efterretning. Conditionerne blive paa Auctionsstedet bekiendtgjorte. Aalborg den 10de Marts 1819. Kløcker.",6
"De 2de første Auctioner holdes paa Raadhuuset, men den sidste i den bortsælgende Eiendom, og Conditionerne erfares ved Auctionerne.",6
"Nykjøbing paa Falster, den 15de Mai 1830. Møller.",6
Salling Herreders Contoir i Skive den 9de April 1823. Rosenstand.,6
"Nykjøbing paa Falster, den 29de Mai 1832. Møller.",6
"Contoiret tager imod ufortøvet til det samme afsendte frankerede Brev, og skal da med første Post meddele det Fornødne.",6
"Viborg, Herr Kammerraad Just.",6
"Nykjøbing paa Falster, den 25de October 1832. Møller.",6
"Nykjøbing paa Falster, den 23de Mai 1829. Møller.",6
"Nykjøbing paa Falster, den 20de October 1832. Møller.",6
"Bye- og Herredsfoged-Contoiret i Rødbye, den 20de April 1820. Krüger.",6
"Opførselsen af et Arresthuus her sammesteds, 23 Alen langt og 15 Alen dybt, Grundmuur, 1 Etage med samtlige dertil udfordrende Materialier, efter Overslag og Tegning, som begge Deele strax ere til Eftersyn paa mit Contoir. Conditionerne blive bekiendtgjort ved Licitationen og 8te Dage forud kan faaes til Eftersyn hos mig. Nibe, den 15de Januar 1821. Bassesen.",6
"Hobro i Skiftecommissionen i afgangne Krigsraad Conradsens Bo paa Nørlund, den 14de Mai 1838. C. C. Holm. Wulff. F. W. Weinschenck.",6
"Mariebo Byfogedcomptoir, den 3die October 1833. Valentin.",6
"Mariebo Byfogedcomptoir, den 25de Februar 1832. Valentin.",6
"Nakskovs Skifteret, den 24de Januar 1831. Pontoppidan. Hammerich.",6
"Mariebo Byfogedcomptoir, den 15de Decbr. 1831. Valentin.",6
"Mariebo Byfogedcomptoir, den 15de August 1833. Valentin.",6
"Hvilket herved bekjendtgjøres til Liebhavernes, som og, i Overeensstemmelse med Placaten af 22de April 1817, til Pante-Creditorernes Efterretning.",6
"Mariebo Byfogedcomptoir, den 14de Februar 1833. Valentin.",6
"De 2de første Auctioner afholdes her paa Contoiret og sidste Auction paa Stedet Begborg, hvor Conditionerne ville vorde kundgjorte. Bye- og Herredsfoged-Contoiret i Frederikshavn, den 19de April 1819. J Auctionsdirecteurens, Hr. Cancelliesecretair, Bye- og Herredsfoged Jørgensens Fraværelse, Due, constitueret.",6
"Nakskovs Skifteret, den 15de December 1828. Pontoppidan. Schwensen.",6
Nysted Byefoged Contoir den 12te December 1837. Schwensen.,6
"Nysted Byfoged-Contoir, den 14de September 1829. J. Schwensen.",6
"Nysted Byfoged-Contoir, den 16de Juni 1828. Bekker, const.",6
Conditionerne ere fra 1ste Auction af til Eftersyn paa mit Contoir.,6
"Mariebo Skifteret, den 22de August 1832. Valentin.",6
"Nysted Kjøbstads Skifteret, den 23de August 1833. J. Schwensen.",6
Conditionerne ere fra 1ste Auction af til Eftersyn hos Undertegnede.,6
Nakskovs Skifteret den 9de October 1836. Pontoppidan. Hammerich.,6
"Nakskov Skifteret, den 25de April 1831. Pontoppidan. Hammerich.",6
"Hvilket herved bekjendtgjøres, i Overeensstemmelse med Pl. 22de April 1817, til Efterretning saavel for Pantecreditorerne som Liebhaverne.",6
"Herredscontoiret paa Nørgaard pr. Aalborg, den 10de Hvass. Mai 1811.",6
"De, som fra Begyndelsen af næstkommende October ønske at informeres af mig i selskabelig Dands, ville, inden indeværende Maaneds Udgang, behageligst melde dem i mit Logie hos Coffardie Capitain Hr. Søren Velsen i Skolegaden. Aalborg den 4de September 1818. Haack.",6
"Hvilket herved bekjendtgjøres, saavel, i Overeensstemmelse med Placaten 22de April 1817, til Pantecreditorernes som til de Lysthavendes Efterretning.",6
"Hvilket herved bekjendtgjøres, saavel, i Overeensstemmelse med Placaten 22de April 1817, til Panthavernes, som til de Lysthavendes Efterretning.",6
"By- og Herreds-Contoiret i Saxkjøbing, den 8de April 1832. Ravnkilde.",6
"Christianssæde, den 18de Juni 1829. J. M. Lytzen.",6
"Udgivet af J. Chr. Borch & R. Ph. Res Enke. - Redigeret af Capitain v. Bøderberg, Rd. af D.",6
"Det bemærkes at Gaarden er beqvemt indrettet for hvilkensomhelst Familie, at dens Bygninger udgjøre 75 Fag, og at Jorderne ere gode, og ligge i Nærheden af Byen. Hjørring den 29de Juli 1824. S. Poulsen.",6
"Viborg Byes Skifteret, den 6te April 1821. Gundelach.",6
"Randers, den 3die Juli 1816. Paa den høie Besidders, Hs. Naade.",6
"Falsters Birk, den 10de October 1831. C. G. Krüger.",6
"J Auctionsdirecteurens Fraværelse, C. Hansen, Fuldm.",6
"Nakskovs Skifteret, den 29de October 1829. Pontoppidan. Hammerich.",6
"Nakskovs Skifteret, den 19de Mai 1828. Pontoppidan. Schwensen.",6
Dette bekjendtgjøres herved i Henhold til Placaten af 22de April 1817.,6
"Kjøbenhavn, den 21de Juli 1826.",6
"Hvilket herved bekjendtgjøres til Efterretning saavel for Creditorerne som Liebhaverne, i Overeensstemmelse med Placaten 22de April 1817. Nakskov, den 27de Juni 1831. Hammerich.",6
"Blandt Auctions=Vilkaarene er, at de Kjøbere, som ikke ansees vederhæftige, maae være forsynede med antagelige Creditiver eller erlægge contant Betaling ved Hammerslaget. Lysthavere indbydes. Skagen den 21de September 1823. D. C. Lund.",6
"Blandt Conditionerne bliver den, at endeel af Kiøbesummen kan, mod for samme at stille Hornsherreds Overformynderie saadan Sikkerhed, som for Umyndiges Midler skal gives, blive indestaaende i Gaarden.",6
"Mariebo Skifteret, den 8de November 1831. Valentin.",6
"Ny Kirstineberg paa Falster, den 23de Mai 1833. Langhoff.",6
Overslaget og Conditionerne ere forinden til Eftersyn paa mit Contoir.,5
"By- og Herreds-Contoiret i Saxkjøbing, den 19de April 1830. Ravnkilde.",5
"Naar den første Torsdag i nogen Maaned skulde være en Helligdag, afholdes Sessionen næste Sognedag efter. Viborg Byes Skifteret, den 10 Januar 1823. Gundelach.",5
"Fjends Nørlyng Herredsfogderie i Viborg, den 12te Januarii 1822. Rod.",5
"By- og Herreds-Contoiret i Saxkjøbing, den 6te Ravnkilde.",5
"Nakskov Skifteret, den 18de Mai 1829. Pontoppidan",5
Thi ville de Lysthavende indfinde sig til fornævnte Tid og Sted.,5
"Auctionen afholdes i Stervbostedet og Conditionerne ere forinden til Eftersyn hos Skifteforvalteren, Forvalter Lytzen paa Christianssæde.",5
"By- og Herreds-Contoiret i Saxkjøbing, den 7de Ravnkilde.",5
"Dette bekjendtgjøres herved overeensstemmende med Placaten 22de April 1817, til alle Vedkommendes Efterretning.",5
"Endelig tilføies, at denne Bekjendtgjørelse tillige tjener de senere Panthavere til Efterretning overeensstemmende med Placaten af 22de April 1817.",5
"J Hr. Auctionsdirecteurens Fraværelse. Marzetta, const.",5
Dette bekjendtgjøres herved i Overeensstemmelse med Placaten 22de April 1817 til alle Vedkommendes Efterretning.,5
"Hvilket saaledes, i Overeensstemmelse med Plakaten af 22de April 1817, herved bekjendtgjøres. Nørre-Sundbye den 28de August 1820. Spies.",5
"By- og Herreds-Contoiret i Saxkjøbing, den 9de Ravnkilde.",5
"Conditionerne, hvorefter Eiendommen bliver bortsolgt, ligger til Eftersyn hos Hr. Procurator Hviid her i Byen. Nakskov, den 12te August 1829. Hammerich.",5
Endeel gode Kornlofter og nogle Pakboder kan faaes til billig Leie af Jens Rasch i Aalborg.,5
"Lysgaard og Hids Herreders Contoir paa Dalsgaard, den 5te Juni 1829.",5
"Salling Herreders Contoir i Skive, 8de Marts 1829. Rosenstand.",5
"Hvorefter de Vedkommende sig allerunderdanigst have at rette, og for Skade at tage vare.",5
Steen Bille. v. Schmidt Phiseldek. Thonning. M. Skibsted.,5
Salling Herreders Contoir i Skive den 11te Februar 1827. Rosenstand.,5
"De i Lollands Stift, til hvem Commissions-Forretningerne for nærværende Tid ere overdragne, ere: Mariboe . . Hr. Collecteur Giegengack.",5
Fjends & Nørlyng Herreds-Contoir i Viborg den 10de Decbr. 1832. F. v. Bülow.,5
"J Hr. Assessor, Herredsfoged Withs Fraværelse Brøchner, const.",5
Paa Mariboe Adresse-Contoir kan følgende Bøger bekommes tilkjøbs.,5
"Conditionerne erfares ved Auctionerne, hvortil de Lysthavende indbydes.",5
"Dette bekjendtgjøres herved, saavel til de Lysthavendes som, i Overeensstemmelse med Placaten af 22de April 1817, til Pante-Creditorernes Efterretning.",5
Ved Overtagelsen af 6 Partialobligationer gives en Syvende gratis.,5
Steen Bille. Malling. Cold. Lange. v. Schmidt Phiseldek. Rothe. M. Skibsted.,5
Oberst og Ridder v. Brun indsendende Af- og Tilgangslister.,5
Nakskov den 1ste Martii 1812. Pontoppidan. Schwensen.,5
Corselitze pr. Nyekjøbing paa Falster den 19de October 1814.,5
"Til Overflødighed bemærkes endnu udtrykkeligt, at det bliver hver og Een tilladt, efter at have seet den meddeelte Underretning, enten at anvende 4 1/2 Species eller ikke at anvende dem, og at i sidste Tilfælde Jngen har at udbetale Noget.",5
"Bye- og Herreds-Contoiret i Skive, den 17de Febr. 1835. Rosenstand.",5
"Hobro, i Skiftecommissionen i afgangne Krigsraad Conradsens Bo paa Nørlund, den 14de Mai 1838. C. C. Holm. Wulff. F. W. Weinschenck.",5
Nyekjøbing paa Morsøe den 14de Juli 1829. Rummelhoff.,5
"Mariboe Skifteret, den 19de Januar 1837. C. A. Møller, constit.",5
Fjends Nørlyng Herreders Contoir i Viborg den 13de August 1825. F. v. Bülow.,5
"Conditionerne kan forinden faaes til Eftersyn, naar Vedkommende melder sig hos Godsets Forvalter.",5
"J Auctionsdirecteurens Fraværelse, W. Jngerslew, const.",5
"Kammerraad og Forvalter Ebbesen i Dannemarre. Hvilket herved bekjendtgjøres saavel til Liebhavernes, som, i Medhold af Pl. 22de April 1817, til Panthavernes Efterretning.",5
"Pd., hos Dhrr. P. H. Berg i Nykjøbing, Consul L. J. Benzon i Stubbekjøbing, H. Dorph. i Saxkjøbing, F. Hertz og L. Wilcken i Mariboe, S. M. Roepstorff i Nakskov, J. H.",5
Hvilket herved i Overeensstemmelse med Placaten af 22de April 1817 bekjendtgjøres.,5
"Falsters Birk den 13de Junii 1837. Buntzen, const.",5
Schielstofte den 28de September 1813. C. D. Møller.,5
"Falsters Birk, den 8de December 1829. C. G. Krüger.",5
"Nysted Kjøbstads Skifteret, den 19de Marts 1832. J. Schwensen.",5
"Samlinger afholdes i Boet Mandagen den 16de Juni og 28de Juli førstkommende, hver Dags Formiddag Kl. 10, her paa Raadstuen. Randers Skifteret, den 28de April 1834. Neckelmann. S. Poulsen.",5
Hvilket herved til Efterretning for Lysthavende bekjendtgjøres.,5
"Nysted Kjøbstads Skifteret, den 29de Marts 1830. J. Schwensen.",5
Marieboes Skifteret den 9de Januar 1829. P. Valentin.,5
"Nakskovs Skifteret, den 27de August 1835. Pontoppidan. Hammerich.",5
"Ved nærværende, efter Directionens Anmodning, af mig reviderede Regnskab har jeg Jntet fundet at erindre.",5
Conditionerne kunne forinden Auctionerne erfares paa mit Contoir.,5
Bekjendtgjørelse. den Kongelige Qvarantaine-Direction.,5
"Falster Birks Contoir i Nykjøbing, den 7de September 1825. C. G. Krüger.",5
"Mariebo Byfogedcomptoir, den 19de Januar 1832. Valentin.",5
Bye- og Herreds-Contoiret i Skive den 25de Marts 1835. Rosenstand.,5
"Nakskovs Skifteret, den 25de Juni 1832. Pontoppidan. Hammerich.",5
"Nakskovs Skifteret, den 20de Septbr. 1832. Pontoppidan. Hammerich.",5
"Hvilket herved bekjendtgjøres paa den ved Placaten af 22de April 1817 foreskrevne Maade, til Efterretning for Panthaverne og de Lysthavende.",5
"Viborgs Auctions-Contoir, den 19de Julii 1823. Gundelach.",5
"Nakskovs Skifteret, den 30te Juni 1833. Pontoppidan. Hammerich.",5
"Nykjøbing paa Falster, den 10de Januar 1835. Møller.",5
Kiellingberggaard den 19de Septbr. 1818. Lund.,5
"Rødbye Byefoged-Contoir, den 27de Octbr. 1825. Jbsen.",5
Biskop Tetens i Ærøeskjøbing og Hr. Farver Starup i Stege.,5
"Nykjøbing paa Falster, den 14de September 1833. Møller.",5
"Nakskovs Skifteret, den 28de Januar 1830. Pontoppidan. Hammerich.",5
